"","tsid","Agg_Level_1","Agg_Level_2","lngth","ADI","CV2","pz","Type","Min","Low25","Mean","Median","Up25","Max"
"19",19,"HOBBIES_2","X",1913,1.00262054507338,0.170938319087189,0.00261369576581286,"Smooth",0,198,276.184004181913,247,333,871
"20",20,"HOUSEHOLD_1","X",1913,1.00262054507338,0.0946817498382209,0.00261369576581286,"Smooth",0,4731,6011.77522216414,5966,7203,11106
"21",21,"HOUSEHOLD_2","X",1913,1.00209533787323,0.0524886579104394,0.00209095661265029,"Smooth",0,1279,1557.83795086252,1516,1766,2809
"22",22,"FOODS_1","X",1913,1.00104657247514,0.058257136542384,0.00104547830632514,"Smooth",0,2282,2659.71824359645,2654,3068,5493
"23",23,"FOODS_2","X",1913,1.00209533787323,0.0700295823525226,0.00209095661265029,"Smooth",0,3234,3988.40669106116,3875,4590,8711
"24",24,"FOODS_3","X",1913,1,0.0470625930975676,0,"Smooth",10,14497,16922.1515943544,16491,19355,28663
"25",25,"CA","HOBBIES",1913,1.00262054507338,0.0490920333637211,0.00261369576581286,"Smooth",0,1350,1589.0658651333,1584,1820,2696
"26",26,"CA","HOUSEHOLD",1913,1.00262054507338,0.0850219997237265,0.00261369576581286,"Smooth",0,2690,3366.10663878725,3304,3931,6566
"27",27,"CA","FOODS",1913,1,0.0449772805910671,0,"Smooth",5,8651,10034.658651333,9791,11341,16523
"28",28,"TX","HOBBIES",1913,1.00262054507338,0.0581505694366886,0.00261369576581286,"Smooth",0,677,832.377940407737,820,967,1531
"29",29,"TX","HOUSEHOLD",1913,1.00262054507338,0.0816502571965781,0.00261369576581286,"Smooth",0,1815,2274.04391008887,2255,2711,4170
"30",30,"TX","FOODS",1913,1,0.0389960904380416,0,"Smooth",2,5849,6772.82854155776,6621,7619,14333
"31",31,"WI","HOBBIES",1913,1.00262054507338,0.0633405322676184,0.00261369576581286,"Smooth",0,645,780.228959749085,753,900,1599
"32",32,"WI","HOUSEHOLD",1913,1.00209533787323,0.103231812209958,0.00209095661265029,"Smooth",0,1482,1929.46262415055,1865,2312,4393
"33",33,"WI","FOODS",1913,1,0.0797069881431502,0,"Smooth",1,5408,6762.78933612128,6630,8062,14362
"34",34,"CA","HOBBIES_1",1913,1.00262054507338,0.0487510036514764,0.00261369576581286,"Smooth",0,1254,1477.87924725562,1475,1690,2563
"35",35,"CA","HOBBIES_2",1913,1.00262054507338,0.204966464998318,0.00261369576581286,"Smooth",0,75,111.186617877679,99,138,369
"36",36,"CA","HOUSEHOLD_1",1913,1.00262054507338,0.104705643789034,0.00261369576581286,"Smooth",0,2003,2553.58860428646,2537,3044,5190
"37",37,"CA","HOUSEHOLD_2",1913,1.00262054507338,0.0507312158059344,0.00261369576581286,"Smooth",0,678,812.518034500784,780,931,1428
"38",38,"CA","FOODS_1",1913,1.00209533787323,0.0579809425186802,0.00209095661265029,"Smooth",0,1039,1236.76319916362,1209,1422,2643
"39",39,"CA","FOODS_2",1913,1.00262054507338,0.0602459615891514,0.00261369576581286,"Smooth",0,1265,1546.12859383168,1490,1769,3195
"40",40,"CA","FOODS_3",1913,1,0.0524487968510765,0,"Smooth",5,6108,7251.76685833769,7070,8299,12852
"41",41,"TX","HOBBIES_1",1913,1.00262054507338,0.0611400671791213,0.00261369576581286,"Smooth",0,593,735.31730266597,730,859,1441
"42",42,"TX","HOBBIES_2",1913,1.00262054507338,0.205763592798636,0.00261369576581286,"Smooth",0,66,97.0606377417669,88,118,326
"43",43,"TX","HOUSEHOLD_1",1913,1.00262054507338,0.0919358168469766,0.00261369576581286,"Smooth",0,1454,1861.10402509148,1864,2245,3558
"44",44,"TX","HOUSEHOLD_2",1913,1.00262054507338,0.0639480417001062,0.00261369576581286,"Smooth",0,333,412.939884997386,403,475,1006
"45",45,"TX","FOODS_1",1913,1.00157068062827,0.0794001133244574,0.00156821745948772,"Smooth",0,575,672.050182958704,684,783,1758
"46",46,"TX","FOODS_2",1913,1.00209533787323,0.0494689776813528,0.00209095661265029,"Smooth",0,948,1132.85258755881,1116,1300,2060
"47",47,"TX","FOODS_3",1913,1,0.0472829112105819,0,"Smooth",2,4218,4967.92577104025,4808,5630,11175
"48",48,"WI","HOBBIES_1",1913,1.00262054507338,0.065401681516289,0.00261369576581286,"Smooth",0,588,712.292211186618,684,819,1500
"49",49,"WI","HOBBIES_2",1913,1.00262054507338,0.213502348623829,0.00261369576581286,"Smooth",0,46,67.9367485624673,62,82,243
"50",50,"WI","HOUSEHOLD_1",1913,1.00262054507338,0.114631260277297,0.00261369576581286,"Smooth",0,1204,1597.0825927862,1555,1935,3695
"51",51,"WI","HOUSEHOLD_2",1913,1.00209533787323,0.0774348793805486,0.00209095661265029,"Smooth",0,264,332.380031364349,319,386,699
"52",52,"WI","FOODS_1",1913,1.00262054507338,0.0728079440749266,0.00261369576581286,"Smooth",0,610,750.904861474124,742,881,1634
"53",53,"WI","FOODS_2",1913,1.00262054507338,0.196298355243734,0.00261369576581286,"Smooth",0,855,1309.42550967067,1218,1679,4059
"54",54,"WI","FOODS_3",1913,1,0.0725490511498444,0,"Smooth",1,3773,4702.45896497648,4607,5549,8953
"55",55,"CA_1","HOBBIES",1913,1.00262054507338,0.07021353173943,0.00261369576581286,"Smooth",0,373,458.273915316257,459,537,953
"56",56,"CA_1","HOUSEHOLD",1913,1.00262054507338,0.116128132014796,0.00261369576581286,"Smooth",0,562,753.115525352849,729,898,1665
"57",57,"CA_1","FOODS",1913,1.00262054507338,0.0592896884038184,0.00261369576581286,"Smooth",0,2323,2812.76947203346,2710,3265,5016
"58",58,"CA_2","HOBBIES",1913,1.00262054507338,0.0863252891696517,0.00261369576581286,"Smooth",0,263,333.404600104548,320,389,726
"59",59,"CA_2","HOUSEHOLD",1913,1.00262054507338,0.116644892878912,0.00261369576581286,"Smooth",0,610,819.348144276006,759,955,1881
"60",60,"CA_2","FOODS",1913,1,0.10078802909391,0,"Smooth",2,1424,1819.26764244642,1692,2134,4467
"61",61,"CA_3","HOBBIES",1913,1.00262054507338,0.0624358885461654,0.00261369576581286,"Smooth",0,412,502.324621014114,497,585,956
"62",62,"CA_3","HOUSEHOLD",1913,1.00262054507338,0.0820770733716001,0.00261369576581286,"Smooth",0,1105,1417.37741766858,1435,1683,2724
"63",63,"CA_3","FOODS",1913,1.0005230125523,0.0413492460331374,0.000522739153162572,"Smooth",0,3399,3928.79769994773,3861,4466,6488
"64",64,"CA_4","HOBBIES",1913,1.00262054507338,0.0830349242397194,0.00261369576581286,"Smooth",0,230,295.062728698379,292,352,655
"65",65,"CA_4","HOUSEHOLD",1913,1.00262054507338,0.0785785024328533,0.00261369576581286,"Smooth",0,290,376.265551489807,384,451,762
"66",66,"CA_4","FOODS",1913,1.00262054507338,0.0348059058351589,0.00261369576581286,"Smooth",0,1310,1473.82383690538,1481,1659,2420
"67",67,"TX_1","HOBBIES",1913,1.00262054507338,0.086338815892691,0.00261369576581286,"Smooth",0,178,224.299006795609,218,266,589
"68",68,"TX_1","HOUSEHOLD",1913,1.00262054507338,0.0923295020653204,0.00261369576581286,"Smooth",0,569,725.561421850497,715,868,1412
"69",69,"TX_1","FOODS",1913,1.00157068062827,0.0425302813331252,0.00156821745948772,"Smooth",0,1679,1975.01777313121,1919,2235,3978
"70",70,"TX_2","HOBBIES",1913,1.00262054507338,0.0612826258332847,0.00261369576581286,"Smooth",0,272,332.460533193936,327,383,682
"71",71,"TX_2","HOUSEHOLD",1913,1.00262054507338,0.0757376016465485,0.00261369576581286,"Smooth",0,661,817.178776790382,797,960,1780
"72",72,"TX_2","FOODS",1913,1.00157068062827,0.0465059907089797,0.00156821745948772,"Smooth",0,2223,2621.60167276529,2535,2981,5251
"73",73,"TX_3","HOBBIES",1913,1.00262054507338,0.102700388533391,0.00261369576581286,"Smooth",0,208,275.618400418191,261,338,604
"74",74,"TX_3","HOUSEHOLD",1913,1.00262054507338,0.106025241859599,0.00261369576581286,"Smooth",0,544,731.303711447987,731,900,1470
"75",75,"TX_3","FOODS",1913,1,0.0401123431645394,0,"Smooth",1,1890,2176.20909566127,2147,2468,5104
"76",76,"WI_1","HOBBIES",1913,1.00314630309386,0.108573021609793,0.00313643491897543,"Smooth",0,268,342.757971772086,323,406,888
"77",77,"WI_1","HOUSEHOLD",1913,1.00262054507338,0.119918019710443,0.00261369576581286,"Smooth",0,418,551.497124934658,520,651,1397
"78",78,"WI_1","FOODS",1913,1.00157068062827,0.169267797486664,0.00156821745948772,"Smooth",0,1104,1797.36121275484,1832,2289,4715
"79",79,"WI_2","HOBBIES",1913,1.00262054507338,0.130521357402619,0.00261369576581286,"Smooth",0,140,193.525352848928,190,241,487
"80",80,"WI_2","HOUSEHOLD",1913,1.00262054507338,0.178345784278876,0.00261369576581286,"Smooth",0,480,734.769472033455,738,931,2047
"81",81,"WI_2","FOODS",1913,1.00104657247514,0.155855233215307,0.00104547830632514,"Smooth",0,1680,2492.51646628332,2460,3217,5902
"82",82,"WI_3","HOBBIES",1913,1.00262054507338,0.0630198741506408,0.00261369576581286,"Smooth",0,200,243.945635128071,237,281,573
"83",83,"WI_3","HOUSEHOLD",1913,1.00262054507338,0.0751651706878793,0.00261369576581286,"Smooth",0,508,643.196027182436,620,744,1296
"84",84,"WI_3","FOODS",1913,1.00104657247514,0.0752125975969081,0.00104547830632514,"Smooth",0,1992,2472.91165708312,2381,2878,5025
"85",85,"CA_1","HOBBIES_1",1913,1.00262054507338,0.0712051973575951,0.00261369576581286,"Smooth",0,350,429.442760062729,429,502,902
"86",86,"CA_1","HOBBIES_2",1913,1.00262054507338,0.345869205759349,0.00261369576581286,"Smooth",0,17,28.8311552535285,25,37,120
"87",87,"CA_1","HOUSEHOLD_1",1913,1.00262054507338,0.139848372385068,0.00261369576581286,"Smooth",0,416,575.099320439101,552,700,1389
"88",88,"CA_1","HOUSEHOLD_2",1913,1.00262054507338,0.0798697522514582,0.00261369576581286,"Smooth",0,140,178.016204913748,171,209,359
"89",89,"CA_1","FOODS_1",1913,1.00262054507338,0.0992717010787554,0.00261369576581286,"Smooth",0,228,296.836905384213,288,353,795
"90",90,"CA_1","FOODS_2",1913,1.00262054507338,0.0646178270895387,0.00261369576581286,"Smooth",0,377,462.699424986932,447,540,923
"91",91,"CA_1","FOODS_3",1913,1.00262054507338,0.0708868549891599,0.00261369576581286,"Smooth",0,1659,2053.23314166231,1953,2422,4042
"92",92,"CA_2","HOBBIES_1",1913,1.00262054507338,0.092363122714769,0.00261369576581286,"Smooth",0,235,302.291165708312,290,356,659
"93",93,"CA_2","HOBBIES_2",1913,1.00262054507338,0.276191881671093,0.00261369576581286,"Smooth",0,20,31.1134343962363,28,39,132
"94",94,"CA_2","HOUSEHOLD_1",1913,1.00262054507338,0.13965046841137,0.00261369576581286,"Smooth",0,418,578.594877156299,539,684,1414
"95",95,"CA_2","HOUSEHOLD_2",1913,1.00262054507338,0.0912912984469126,0.00261369576581286,"Smooth",0,186,240.753267119707,221,284,559
"96",96,"CA_2","FOODS_1",1913,1.00262054507338,0.0794576501347189,0.00261369576581286,"Smooth",0,300,375.163094615787,362,438,963
"97",97,"CA_2","FOODS_2",1913,1.00367261280168,0.616152526817089,0.003659174072138,"Erratic",0,100,173.925248301098,124,164,844
"98",98,"CA_2","FOODS_3",1913,1,0.0956326043014317,0,"Smooth",2,990,1270.17929952953,1189,1488,3120
"99",99,"CA_3","HOBBIES_1",1913,1.00262054507338,0.0647541809443292,0.00261369576581286,"Smooth",0,377,462.894929430214,457,538,868
"100",100,"CA_3","HOBBIES_2",1913,1.00262054507338,0.241690173173817,0.00261369576581286,"Smooth",0,25,39.4296915838996,35,50,132
"101",101,"CA_3","HOUSEHOLD_1",1913,1.00262054507338,0.106008502054422,0.00261369576581286,"Smooth",0,847,1122.35912179822,1148,1357,2270
"102",102,"CA_3","HOUSEHOLD_2",1913,1.00262054507338,0.0405643142843362,0.00261369576581286,"Smooth",0,253,295.018295870361,290,331,527
"103",103,"CA_3","FOODS_1",1913,1.00209533787323,0.0708586481613338,0.00209095661265029,"Smooth",0,318,385.186617877679,380,444,961
"104",104,"CA_3","FOODS_2",1913,1.00262054507338,0.0513139713366669,0.00261369576581286,"Smooth",0,524,628.628332462101,617,716,1226
"105",105,"CA_3","FOODS_3",1913,1.0005230125523,0.0511331846552987,0.000522739153162572,"Smooth",0,2468,2914.98274960795,2871,3356,5118
"106",106,"CA_4","HOBBIES_1",1913,1.00262054507338,0.0831238156430706,0.00261369576581286,"Smooth",0,222,283.250392054365,282,340,639
"107",107,"CA_4","HOBBIES_2",1912,1.00737618545838,0.478870819111802,0.00732217573221757,"Smooth",0,6,11.8185146443515,10,16,76
"108",108,"CA_4","HOUSEHOLD_1",1913,1.00262054507338,0.0936405320547542,0.00261369576581286,"Smooth",0,208,277.535284892838,284,338,585
"109",109,"CA_4","HOUSEHOLD_2",1913,1.00262054507338,0.0736140907696364,0.00261369576581286,"Smooth",0,79,98.7302665969681,96,116,396
"110",110,"CA_4","FOODS_1",1913,1.00262054507338,0.0862233877668569,0.00261369576581286,"Smooth",0,147,179.576581285938,180,214,433
"111",111,"CA_4","FOODS_2",1913,1.00262054507338,0.052941125583694,0.00261369576581286,"Smooth",0,236,280.875588081547,273,320,582
"112",112,"CA_4","FOODS_3",1913,1.00262054507338,0.0431275550261502,0.00261369576581286,"Smooth",0,879,1013.3716675379,1014,1145,1822
"113",113,"TX_1","HOBBIES_1",1913,1.00262054507338,0.0910276213057754,0.00261369576581286,"Smooth",0,159,201.789858860429,196,239,561
"114",114,"TX_1","HOBBIES_2",1913,1.00314630309386,0.373272978107155,0.00313643491897543,"Smooth",0,13,22.5091479351803,19,29,104
"115",115,"TX_1","HOUSEHOLD_1",1913,1.00262054507338,0.100131060257229,0.00261369576581286,"Smooth",0,466,598.973340303189,593,723,1196
"116",116,"TX_1","HOUSEHOLD_2",1913,1.00262054507338,0.103774755450493,0.00261369576581286,"Smooth",0,98,126.588081547308,122,148,723
"117",117,"TX_1","FOODS_1",1913,1.00262054507338,0.101228187987915,0.00261369576581286,"Smooth",0,152,191.142707788813,192,228,585
"118",118,"TX_1","FOODS_2",1913,1.00262054507338,0.0614693535783372,0.00261369576581286,"Smooth",0,271,330.116570831155,322,382,983
"119",119,"TX_1","FOODS_3",1913,1.00157068062827,0.0510440168822131,0.00156821745948772,"Smooth",0,1220,1453.75849451124,1409,1648,2919
"120",120,"TX_2","HOBBIES_1",1913,1.00262054507338,0.0692973086814054,0.00261369576581286,"Smooth",0,235,293.084683742812,286,339,613
"121",121,"TX_2","HOBBIES_2",1913,1.00262054507338,0.244007329763808,0.00261369576581286,"Smooth",0,26,39.3758494511239,36,49,165
"122",122,"TX_2","HOUSEHOLD_1",1913,1.00262054507338,0.0894840751758291,0.00261369576581286,"Smooth",0,517,655.629377940408,642,775,1549
"123",123,"TX_2","HOUSEHOLD_2",1913,1.00262054507338,0.0623877922278585,0.00261369576581286,"Smooth",0,132,161.549398849974,157,188,331
"124",124,"TX_2","FOODS_1",1913,1.00262054507338,0.101313238106192,0.00261369576581286,"Smooth",0,211,265.821223209618,257,313,821
"125",125,"TX_2","FOODS_2",1913,1.00209533787323,0.0576517519982419,0.00209095661265029,"Smooth",0,340,408.50078410873,396,468,827
"126",126,"TX_2","FOODS_3",1913,1.00157068062827,0.0551373463900206,0.00156821745948772,"Smooth",0,1616,1947.27966544694,1882,2239,4229
"127",127,"TX_3","HOBBIES_1",1913,1.00262054507338,0.108891506227655,0.00261369576581286,"Smooth",0,179,240.442760062729,228,295,545
"128",128,"TX_3","HOBBIES_2",1913,1.00262054507338,0.300495468556134,0.00261369576581286,"Smooth",0,22,35.1756403554626,31,44,158
"129",129,"TX_3","HOUSEHOLD_1",1913,1.00262054507338,0.120367455498254,0.00261369576581286,"Smooth",0,437,606.501306847883,608,752,1244
"130",130,"TX_3","HOUSEHOLD_2",1913,1.00262054507338,0.081072891249267,0.00261369576581286,"Smooth",0,96,124.802404600105,122,149,248
"131",131,"TX_3","FOODS_1",1913,1.00157068062827,0.133309354819986,0.00156821745948772,"Smooth",0,161,215.086251960272,218,263,556
"132",132,"TX_3","FOODS_2",1913,1.00262054507338,0.0637673773784146,0.00261369576581286,"Smooth",0,319,394.235232618923,387,459,739
"133",133,"TX_3","FOODS_3",1913,1,0.0475662295017731,0,"Smooth",1,1338,1566.88761108207,1529,1772,4027
"134",134,"WI_1","HOBBIES_1",1913,1.00314630309386,0.111597332699637,0.00313643491897543,"Smooth",0,248,317.889702038683,299,372,843
"135",135,"WI_1","HOBBIES_2",1913,1.01109936575053,0.360946029303756,0.010977522216414,"Smooth",0,14,24.868269733403,22,32,117
"136",136,"WI_1","HOUSEHOLD_1",1913,1.00314630309386,0.130517417656242,0.00313643491897543,"Smooth",0,323,430.148980658651,407,515,1126
"137",137,"WI_1","HOUSEHOLD_2",1913,1.00367261280168,0.120358226269431,0.003659174072138,"Smooth",0,93,121.348144276006,116,146,280
"138",138,"WI_1","FOODS_1",1913,1.00314630309386,0.086490940612751,0.00313643491897543,"Smooth",0,210,264.872974385782,256,308,819
"139",139,"WI_1","FOODS_2",1913,1.00525486074619,0.526420060722493,0.00522739153162572,"Erratic",0,58,314.058546785154,331,466,1092
"140",140,"WI_1","FOODS_3",1913,1.00157068062827,0.157009054390167,0.00156821745948772,"Smooth",0,798,1218.4296915839,1210,1524,3203
"141",141,"WI_2","HOBBIES_1",1913,1.00262054507338,0.137812689692297,0.00261369576581286,"Smooth",0,124,171.71562990068,168,213,450
"142",142,"WI_2","HOBBIES_2",1913,1.0047268907563,0.381768868959468,0.00470465237846315,"Smooth",0,13,21.8097229482488,19,28,123
"143",143,"WI_2","HOUSEHOLD_1",1913,1.00262054507338,0.192230180579352,0.00261369576581286,"Smooth",0,413,634.980658651333,638,808,1869
"144",144,"WI_2","HOUSEHOLD_2",1913,1.00262054507338,0.137604713146935,0.00261369576581286,"Smooth",0,71,99.7888133821223,100,125,244
"145",145,"WI_2","FOODS_1",1913,1.00262054507338,0.111979194750178,0.00261369576581286,"Smooth",0,214,277.55044432828,278,342,617
"146",146,"WI_2","FOODS_2",1913,1.00262054507338,0.351812556798986,0.00261369576581286,"Smooth",0,267,571.165185572399,536,804,2063
"147",147,"WI_2","FOODS_3",1913,1.00104657247514,0.135522976791665,0.00104547830632514,"Smooth",0,1174,1643.80083638265,1604,2069,3607
"148",148,"WI_3","HOBBIES_1",1913,1.00262054507338,0.0683939911165777,0.00261369576581286,"Smooth",0,180,222.686879247256,216,258,549
"149",149,"WI_3","HOBBIES_2",1913,1.00262054507338,0.281174862159263,0.00261369576581286,"Smooth",0,13,21.2587558808155,19,27,152
"150",150,"WI_3","HOUSEHOLD_1",1913,1.00262054507338,0.0849105708348411,0.00261369576581286,"Smooth",0,414,531.952953476215,513,616,1141
"151",151,"WI_3","HOUSEHOLD_2",1913,1.00262054507338,0.0739087692393538,0.00261369576581286,"Smooth",0,90,111.243073706221,108,130,232
"152",152,"WI_3","FOODS_1",1913,1.00262054507338,0.125859980952112,0.00261369576581286,"Smooth",0,152,208.481442760063,196,254,682
"153",153,"WI_3","FOODS_2",1913,1.00262054507338,0.140502612185238,0.00261369576581286,"Smooth",0,302,424.201777313121,397,519,1132
"154",154,"WI_3","FOODS_3",1913,1.00104657247514,0.0792332544639499,0.00104547830632514,"Smooth",0,1470,1840.22843700993,1769,2132,4042
"155",155,"HOBBIES_1_001","X",1014,1.04213771839671,0.300321506896078,0.0404339250493097,"Smooth",0,2,4.03648915187377,4,6,15
"156",156,"HOBBIES_1_002","X",1878,1.15997529339098,0.510227419972265,0.137912673056443,"Erratic",0,1,2.69382321618743,2,4,24
"157",157,"HOBBIES_1_003","X",808,1.3534338358459,0.449457591436017,0.261138613861386,"Intermittent",0,0,1.7759900990099,1,3,11
"158",158,"HOBBIES_1_004","X",1913,1.00684210526316,0.153222001152775,0.00679560899111343,"Smooth",0,15,20.4783063251438,20,25,61
"159",159,"HOBBIES_1_005","X",1816,1.02889518413598,0.317033625980817,0.0280837004405286,"Smooth",0,5,8.05121145374449,7,11,35
"160",160,"HOBBIES_1_006","X",1505,1.01006711409396,0.346647751721678,0.00996677740863787,"Smooth",0,5,8.68305647840532,8,12,52
"161",161,"HOBBIES_1_007","X",1388,1.16638655462185,0.315472304382746,0.142651296829971,"Smooth",0,1,2.17146974063401,2,3,8
"162",162,"HOBBIES_1_008","X",1913,1.11805961426067,0.210656161622394,0.10559330893884,"Smooth",0,29,45.8154730789336,46,63,153
"163",163,"HOBBIES_1_009","X",1913,1.0224478888295,0.41301697451171,0.021955044432828,"Smooth",0,4,8.18452692106639,7,11,37
"164",164,"HOBBIES_1_010","X",1913,1.01324152542373,0.22742729167762,0.0130684788290643,"Smooth",0,4,6.1102979613173,6,8,24
"165",165,"HOBBIES_1_011","X",1464,1.67505720823799,0.32730070815833,0.403005464480874,"Intermittent",0,0,1.02459016393443,1,2,7
"166",166,"HOBBIES_1_012","X",1913,1.06692693809258,0.414579229929737,0.0627286983795086,"Smooth",0,2,3.829587036069,3,5,19
"167",167,"HOBBIES_1_013","X",1455,1.13406079501169,0.324937533691926,0.118213058419244,"Smooth",0,1,3.01443298969072,3,4,14
"168",168,"HOBBIES_1_014","X",1662,1.00666262870987,0.289698390502085,0.00661853188929001,"Smooth",0,14,22.4229843561974,20,29,83
"169",169,"HOBBIES_1_015","X",1913,1.00262054507338,0.2590911039596,0.00261369576581286,"Smooth",0,28,44.192890747517,40,58,165
"170",170,"HOBBIES_1_016","X",1913,1.00314630309386,0.270120883200617,0.00313643491897543,"Smooth",0,19,31.2697334030319,29,40,117
"171",171,"HOBBIES_1_017","X",1913,1.03629469122427,0.372628580118231,0.0350235232618923,"Smooth",0,4,7.6215368531103,7,10,41
"172",172,"HOBBIES_1_018","X",1517,2.08528198074278,0.325262590644629,0.520764667106131,"Intermittent",0,0,0.843111404087014,0,1,7
"173",173,"HOBBIES_1_019","X",1675,1.19557458957887,0.301738274028854,0.163582089552239,"Smooth",0,11,31.6937313432836,32,48,130
"174",174,"HOBBIES_1_020","X",1913,1.14345487148834,0.353359640307753,0.125457396759017,"Smooth",0,1,2.34343962362781,2,3,13
"175",175,"HOBBIES_1_021","X",1866,1.25319006044325,0.34938124841678,0.202036441586281,"Smooth",0,1,3.60986066452304,3,5,20
"176",176,"HOBBIES_1_022","X",1913,1.0464989059081,0.36048810849132,0.0444328280188186,"Smooth",0,2,3.84579194981704,3,5,20
"177",177,"HOBBIES_1_023","X",1913,1.01431601272534,0.406301415953102,0.0141139571353894,"Smooth",0,5,10.8766335598536,10,15,40
"178",178,"HOBBIES_1_024","X",1401,1.15785123966942,0.453526219908236,0.13633119200571,"Smooth",0,1,2.71377587437545,2,4,18
"179",179,"HOBBIES_1_025","X",1913,1.08446712018141,0.484018917195766,0.0778881338212232,"Smooth",0,2,4.23732357553581,4,6,26
"180",180,"HOBBIES_1_026","X",1078,1.078,0.313713082022541,0.0723562152133581,"Smooth",0,2,3.17625231910946,3,4,10
"181",181,"HOBBIES_1_027","X",796,1.15720524017467,0.427283951684343,0.136934673366834,"Smooth",0,1,2.55402010050251,2,4,14
"182",182,"HOBBIES_1_028","X",1913,1.03015616585891,0.280451457514914,0.029273392577104,"Smooth",0,3,4.27130162049137,4,6,16
"183",183,"HOBBIES_1_029","X",1913,1.03015616585891,0.175720282655501,0.029273392577104,"Smooth",0,7,9.49137480397282,9,12,26
"184",184,"HOBBIES_1_030","X",1379,1.00583515681984,0.369255086642608,0.00580130529369108,"Smooth",0,12,21.5047135605511,19,28,93
"185",185,"HOBBIES_1_031","X",1913,1.07835400225479,0.331113440257834,0.0726607422895975,"Smooth",0,2,3.1871406168322,3,4,13
"186",186,"HOBBIES_1_032","X",1913,1.09189497716895,0.38996708411141,0.0841610036591741,"Smooth",0,17,33.1798222686879,30,45,159
"187",187,"HOBBIES_1_033","X",954,1.10801393728223,0.34451756109079,0.0974842767295598,"Smooth",0,1,2.63207547169811,2,4,12
"188",188,"HOBBIES_1_034","X",1913,1.04821917808219,0.346119201624676,0.0460010454783063,"Smooth",0,2,4.723470987977,4,6,19
"189",189,"HOBBIES_1_035","X",1759,1.2546362339515,0.384920834846242,0.202956225127914,"Smooth",0,1,1.74303581580443,1,3,11
"190",190,"HOBBIES_1_036","X",1913,1.03910917979359,0.379942031846301,0.0376372190277052,"Smooth",0,3,5.49660219550444,5,8,26
"191",191,"HOBBIES_1_037","X",1503,1.06069160197601,0.140375818609781,0.0572188955422488,"Smooth",0,7,9.31403858948769,9,12,23
"192",192,"HOBBIES_1_038","X",1913,1.06811836962591,0.321697611140284,0.0637741766858338,"Smooth",0,2,3.1019341348667,3,4,14
"193",193,"HOBBIES_1_039","X",1464,1.50051282051282,0.338590691487677,0.334016393442623,"Intermittent",0,0,1.17144808743169,1,2,7
"194",194,"HOBBIES_1_040","X",1419,1.10859375,0.1780777008337,0.0979563072586328,"Smooth",0,7,11.0641296687808,11,15,35
"195",195,"HOBBIES_1_041","X",1794,1.06279620853081,0.356969679642327,0.0590858416945373,"Smooth",0,2,3.51783723522854,3,5,15
"196",196,"HOBBIES_1_042","X",1655,1.11073825503356,0.364103406847647,0.0996978851963746,"Smooth",0,2,4.48398791540786,4,6,17
